GeneID,control1,control2,control3,control4,control5,control6,control7,control8,control9
gene1,1217.14864,1264.215655,1095.339941,1040.43188,880.2106935,798.6593906,1393.152101,1316.266488,1172.970973
gene2,1397.70751,2336.728384,1416.453504,1510.945661,867.9000545,830.0060902,3753.886456,4252.623876,1793.695726
gene3,772.8958812,796.5907993,671.4192685,636.9239749,538.5904593,571.0550933,875.3985587,871.0857023,557.4005191
gene4,3309.81295,3003.50094,2962.367812,3463.688298,2748.350172,2759.872467,3722.003373,3625.699182,3318.631624
gene5,23.38172414,26.52200675,27.92291854,35.34375814,16.92712872,31.34669963,27.72441991,29.37275287,30.92578838
gene6,35.07258621,39.55036095,49.49971923,42.70704109,35.39308733,65.41919923,52.67639783,44.0591293,38.28907132
gene7,5972.731533,6193.121226,6415.925146,5250.757069,4559.552946,3613.047857,4185.694296,3390.717159,5867.80018
gene8,1297.68569,1319.586161,1389.799809,1134.681902,1049.481981,1296.117885,1305.127067,1516.368367,1490.328468
gene9,3850.190575,3700.983188,3591.902703,4169.090804,4454.912514,3570.797958,3643.681887,4739.110096,4212.534174
gene10,727.4314176,635.5975653,586.3812893,329.1387477,455.4936456,517.9019939,814.4048349,654.4616499,803.3341695
gene11,80.53704981,60.95408569,85.03797919,43.44336939,44.62606663,83.13689902,88.71814372,95.46144683,61.85157675
gene12,2.597969349,9.305967282,5.07689428,26.50781861,7.694149419,4.088699952,32.5761934,12.85057938,14.72656589
gene13,14.28883142,9.305967282,3.80767071,47.12501086,15.38829884,5.451599936,108.8183482,45.89492636,55.2246221
gene14,349.4268774,285.6931955,314.7674453,253.2969334,315.4601262,318.9185962,344.4759174,424.9870181,282.7500652
gene15,40.2685249,46.06453804,57.11506065,53.01563722,41.54840686,98.12879884,44.35907186,57.82760721,30.18946008
gene16,4428.238755,4455.697134,5334.546664,4515.901431,4553.397626,3260.056762,2610.947245,2668.331019,2798.783848
gene17,553.3674713,527.1830465,474.6896152,409.3985318,475.4984341,557.4260934,686.8725033,652.6258528,594.2169338
gene18,5472.622433,5590.559844,6205.234033,7247.679404,5031.97372,5897.26823,4700.675396,4731.766908,5397.2864
gene19,320.8492146,272.199543,256.3831611,363.0098493,403.1734296,414.3215951,262.6888787,360.7341212,395.4082942
gene20,353.3238314,289.8808808,323.6520103,223.8438016,233.9021423,275.3057968,146.9394255,135.848982,189.9727
gene21,966.4445977,900.3523345,856.7259097,751.7911889,834.045797,791.8448907,922.5300726,944.5175845,879.1759838
gene22,18.18578544,20.47312802,12.6922357,14.72656589,9.232979303,42.2498995,20.10020444,22.94746318,10.30859613
gene23,101.3208046,83.28840717,90.11487347,55.2246221,55.39787582,65.41919923,90.79747521,106.4762292,97.93166319
gene24,25.97969349,32.57088549,24.11524783,19.88086396,13.84946895,20.44349976,51.98328734,35.79804256,16.19922248
gene25,1161.292299,987.3631286,1042.032551,846.0412106,780.1867511,891.3365895,1093.035255,927.0775125,1089.765876
gene26,884.6085632,770.0687925,745.0342355,603.0528733,563.2117375,616.0307927,603.6992436,626.9246941,740.7462644
gene27,48.06243295,42.80744949,49.49971923,49.33399574,61.55319535,99.49169883,58.22128182,73.43188217,46.38868256
gene28,3932.026609,3611.645902,3817.824498,2666.981083,2535.991649,2232.430174,2617.87835,2667.41312,3693.422726
gene29,171.465977,128.8876468,329.9981282,217.9531752,260.0622504,279.3944967,49.90395584,57.82760721,112.6582291
gene30,79.23806513,116.7898894,91.38409704,150.9473004,96.94628268,125.3867985,187.8329449,134.9310835,111.9219008
gene31,222.1263793,212.176054,195.4604298,114.1308857,70.78617466,61.33049928,158.0291935,46.81282489,122.2304969
gene32,6.494923372,18.61193456,24.11524783,0.736328295,7.694149419,4.088699952,2.772441991,12.85057938,5.154298063
gene33,64.94923372,43.27274786,48.23049566,154.6289419,73.86383442,59.96759929,54.06261883,34.88014403,81.73244071
gene34,38.96954023,27.91790184,31.73058925,39.76172791,32.31542756,53.15309937,50.59706634,35.79804256,30.18946008
gene35,49.36141762,26.52200675,45.69204852,42.70704109,24.62127814,83.13689902,72.08349177,39.46963667,42.70704109
gene36,2727.867816,2621.956282,2622.215895,2708.215468,2743.733683,2513.18757,2453.611162,2441.610082,2706.742811
gene37,57.15532567,101.4350434,65.99962564,82.468769,67.70851489,55.87889934,70.69727078,91.78985272,44.17969768
gene38,648.1933525,530.440135,559.7275943,461.6778408,407.7899192,363.8942957,429.0353981,423.151221,477.8770632
